Item Code,Item Description,Strength,Dosage Form,Category
MM174600,Nalidixic Acid Disc 30?g,1,N/A,Laboratory Reagents + Materials
MM174900,Needle Vacutainer 21g Plus Holders,1,N/A,Laboratory Reagents + Materials
MM175800,Nitrofurantoin Disc 300?g,1,N/A,Laboratory Reagents + Materials
MM176700,"Nutrient Broth, 250g",250g,N/A,Laboratory Reagents + Materials
MM177300,Oil Immersion (Cedarwood),1,N/A,Laboratory Reagents + Materials
MM177350,Oligonucleotides,1,NA,Laboratory Reagents + Materials
MM177900,Optochin Disc 5?g,1,N/A,Laboratory Reagents + Materials
MM178200,Oxacillin Discs 1?g,1,N/A,Laboratory Reagents + Materials
MM178500,Oxidase Strip Reagent,1,N/A,Laboratory Reagents + Materials
MM178800,"Paediatric Blood Collecting Plain Tube Vaccuated,2ml",1,N/A,Laboratory Reagents + Materials
MM179400,Paper Filter Whatman No.1 Size 10cm,1,N/A,Laboratory Reagents + Materials
MM179450,Paper Filter Whatman No.1 Size 125mm,1,NA,Laboratory Reagents + Materials
MM179700,Paper Filter Whatman No.1 Size 15cm,1,N/A,Laboratory Reagents + Materials
MM180000,Paper Filter Whatman No.1 Size 24cm,1,N/A,Laboratory Reagents + Materials
MM182100,Partec Decontamination Liquid,1,N/A,Laboratory Reagents + Materials
MM183300,"Pasteur Pipettes, 5ml, Disposable",1,N/A,Laboratory Reagents + Materials
MM183301,"Pasteur Pipettes, 3ml, Disposable",1,NA,Laboratory Reagents + Materials
MM183302,Pasteur Pipettes 1ml,1,NA,Laboratory Reagents + Materials
MM183350,Pasteur Capilarry Pippettes 150mm,1,NA,Laboratory Reagents + Materials
MM183370,Plastic Sheets,1,NA,Laboratory Reagents + Materials
MM184200,Pcr Plate 96 Wells 4j71-70,1,NA,Laboratory Reagents + Materials
MM184550,Pcr Tubes,1,NA,Laboratory Reagents + Materials
MM184800,Penicillin G 1 Unit Disc,1,N/A,Laboratory Reagents + Materials
MM185100,"Peptone Broth, Powder",1,N/A,Laboratory Reagents + Materials
MM185400,"Petri Dishes Disposable Polystyrene 100x20mm, With Lid, Sterile",1,N/A,Laboratory Reagents + Materials
MM185700,Phenol Crystals (Purity: 99.5%),1,N/A,Laboratory Reagents + Materials
MM185750,Phosphate buffered saline (PBS) (sigma Ph 7.4 dry powder in,1,NA,Laboratory Reagents + Materials
MM186300,Pima Beadstandard Set,1,N/A,Laboratory Reagents + Materials
MM189350,"PIPETS TIPS,YELLOW,0-200uL,no-filter,Bulk",1,NA,Laboratory Reagents + Materials
MM189360,Pipette tips (50-800mls),1,NA,Laboratory Reagents + Materials
MM189361,Pipette Tips(2-20ml),1,NA,Laboratory Reagents + Materials
MM189600,Pipette Tips 200-1000mcl (Microlitre),1,N/A,Laboratory Reagents + Materials
MM189900,Pipette Tips 50-200mcl (Microlitre),1,NA,Laboratory Reagents + Materials
MM190200,"Pipette, Pasteur Plastic Disposable 3ml",1,N/A,Laboratory Reagents + Materials
MM190500,Pipettes Disposable 3ml 1000 Per Pack,1,NA,Laboratory Reagents + Materials
MM190501,Pippette Straight 1mls,1,NA,Laboratory Reagents + Materials
MM190502,Pippette Straight 2mls,1,NA,Laboratory Reagents + Materials
MM190503,Pippette Straight 5mls,1,NA,Laboratory Reagents + Materials
MM190504,Pippette Straight 10mls,1,NA,Laboratory Reagents + Materials
MM190505,pippette Straight Grade B,1,NA,Laboratory Reagents + Materials
MM190506,Pippette Wester Green ESR 300mm,1,NA,Laboratory Reagents + Materials
MM190507,Pippette Wester Green ESR 190mm,1,NA,Laboratory Reagents + Materials
MM190508,Pippette Wester Green ESR 5ml,1,NA,Laboratory Reagents + Materials
MM190509,Pippette Wester Green ESR 2ml,1,NA,Laboratory Reagents + Materials
MM190510,Pipette tips 5-200mcl (microlitre),1,NA,Laboratory Reagents + Materials
MM190800,"Plain Swab, Disposable, 100",1,N/A,Laboratory Reagents + Materials
MM191400,"Potassium Permanganate,99%, 250 G",1,N/A,Laboratory Reagents + Materials
MM191700,Potassium Phosphate Dibasic(Anhydrous),1,N/A,Laboratory Reagents + Materials
MM192000,Potassium Phosphate Monobasic(Anhydrous),1,N/A,Laboratory Reagents + Materials
MM192300,Pregnancy Slide Test Kit (Human - Chorionic Gonadotrophin (Hcg)),1,N/A,Laboratory Reagents + Materials
MM192600,Prostate Specific Antigen Test (Rapid) Kit,1,N/A,Laboratory Reagents + Materials
MM192900,"Prothrombin Time Test Kits, (For Factors Ii, V, Vii And X)",1,N/A,Laboratory Reagents + Materials
MM192950,Rabkin Reagent,1,NA,Laboratory Reagents + Materials
MM192980,Rack Drying,1,NA,Laboratory Reagents + Materials
MM193200,Rack For Westergreen Esr To Take 6 Tubes,1,N/A,Laboratory Reagents + Materials
MM193500,Rack For Westergreen Esr To Take 6 Tubes,1,N/A,Laboratory Reagents + Materials
MM194150,Rapidiff Stain,1,NA,Laboratory Reagents + Materials
MM194700,Reagents For Chemistry Analyser Bs 400,1,NA,Laboratory Reagents + Materials
MM196800,Rectangular Hotplate,1,N/A,Laboratory Reagents + Materials
MM197100,"Red Litmus Test Strips, 1 X 100",1,N/A,Laboratory Reagents + Materials
MM197400,Rheumatoid Factor Test Kit (Latex),1,N/A,Laboratory Reagents + Materials
MM197700,"Safranin-O, Stain 500g",1,N/A,Laboratory Reagents + Materials
MM198000,"Salmonella (H) Antisera, Poly",1,N/A,Laboratory Reagents + Materials
MM198300,Salmonella (H) Factor 0,1,N/A,Laboratory Reagents + Materials
MM198600,Salmonella (H) Factor 1,1,N/A,Laboratory Reagents + Materials
MM198900,"Salmonella (H) Factor 1, 2",1,N/A,Laboratory Reagents + Materials
MM199500,"Salmonella (H) Factor G, M",1,N/A,Laboratory Reagents + Materials
MM199800,Salmonella (O) Factor (Vi),1,N/A,Laboratory Reagents + Materials
MM200100,Salmonella (O) Factor 2,1,N/A,Laboratory Reagents + Materials
MM200700,"Salmonella (O) Factor 6, 7",1,N/A,Laboratory Reagents + Materials
MM201000,Salmonella (O) Factor 9,1,N/A,Laboratory Reagents + Materials
MM201300,Salmonella Antisera Poly A-S,1,N/A,Laboratory Reagents + Materials
MM201350,Sample cups 500P/PK,1,NA,Laboratory Reagents + Materials
MM201900,Scott?S Water,1,NA,Laboratory Reagents + Materials
MM202200,"Sd Check Glucostics,",1,N/A,Laboratory Reagents + Materials
MM202800,"Shigella Dysenteriae 1 Diagnostic Antiserum, Monovalent, 2ml",1,N/A,Laboratory Reagents + Materials
MM203100,"Shigella Flexneri (Group B) Diagnostic Antiserum, Polyvalent, 2ml",1,N/A,Laboratory Reagents + Materials
MM203400,"Shigella Sonnei (Group D) Diagnostic Antiserum, Polyvalent, 2ml",1,N/A,Laboratory Reagents + Materials
MM203700,Simon Citrate Agar 500g,1,N/A,Laboratory Reagents + Materials
MM204300,"Sodium Chloride, 1kg",1,N/A,Laboratory Reagents + Materials
MM204900,Sodium Dithionite Powder,1,N/A,Laboratory Reagents + Materials
MM205200,Sodium Dithionite Powder (Sodium Hydrosulfite),1,N/A,Laboratory Reagents + Materials
MM205800,Sodium Hydroxide Crystals,1,N/A,Laboratory Reagents + Materials
MM206400,Sodium Metabisulphote Powder (Disodium?Metabisulfite),1,N/A,Laboratory Reagents + Materials
MM206450,Specimen Bottles wire sterile,1,NA,Laboratory Reagents + Materials
MM207000,"Spirit Lamps (Metal Spirit Burner With Wick And Screw Cap, Approx. 120-130ml: Spare: Wick)",1,N/A,Laboratory Reagents + Materials
MM207600,Sulmethaxazole Discs 1.25mcg,1,N/A,Laboratory Reagents + Materials
MM207900,"Sulphuric Acid (Minimum Assay: 98%), In Amber Glass Sealed In A Plastic Bag",1,N/A,Laboratory Reagents + Materials
MM208200,"Syphilis Test, Rapid",1,N/A,Laboratory Reagents + Materials
MM208500,Sysmex 8 Check H,1,N/A,Laboratory Reagents + Materials
MM208800,Sysmex 8 Check M,1,N/A,Laboratory Reagents + Materials
MM209100,Sysmex 8 Check N,1,N/A,Laboratory Reagents + Materials
MM209400,Sysmex Cell Clean,1,N/A,Laboratory Reagents + Materials
MM209700,Sysmex Cell Pack,1,N/A,Laboratory Reagents + Materials
MM210000,Sysmex Stromatolyser,1,N/A,Laboratory Reagents + Materials
MM210300,Sysmex Stromatolyser 4dl,1,N/A,Laboratory Reagents + Materials
MM210600,Sysmex Stromatolyser 4ds,1,N/A,Laboratory Reagents + Materials
MM210900,Sysmex Stromatolyser Fb,1,N/A,Laboratory Reagents + Materials
MM211200,Sysmex Sulfolyser,1,N/A,Laboratory Reagents + Materials
MM211500,Sysmex Thermal Printer Paper,1,N/A,Laboratory Reagents + Materials
MM211800,Test For Streptococcus Pneumonia Kit,1,N/A,Laboratory Reagents + Materials
MM212400,Thermal Printer Paper (5pcs) For Cyflow Counter Sl2,1,N/A,Laboratory Reagents + Materials
MM212700,Thermal Printer Paper For Humalyzer 3000,1,N/A,Laboratory Reagents + Materials
MM213000,Thermometer -10-100 Degrees Centigrade,1,N/A,Laboratory Reagents + Materials
MM213300,Thermometer Minimum + Maximum,1,N/A,Laboratory Reagents + Materials
MM213350,Thioglycollate medium,1,NA,Laboratory Reagents + Materials
MM213360,Tissue Culture,1,NA,Laboratory Reagents + Materials
MM213600,Tobramycin 10mcg (Microgram) Discs,1,N/A,Laboratory Reagents + Materials
MM213900,Toluene 2.5l,1,NA,Laboratory Reagents + Materials
MM214500,Total Protein Test Kit (Human),1,N/A,Laboratory Reagents + Materials
MM214800,Toulene (Histology Grade Purity: 98%),1,N/A,Laboratory Reagents + Materials
MM215100,Tourniquet,1,N/A,Laboratory Reagents + Materials
MM215400,Transfusion Set Blood Administration + Pump + Needle (With Integral Screen Filter Of 170-200 Micron),1,N/A,Laboratory Reagents + Materials
MM215700,"Transfusion Set Blood Administration With Needle, 18g X 1 1/2 (With Integral Screen Filter Of 170-200 Micron)",1,N/A,Laboratory Reagents + Materials
MM217800,"Trypticase Soya Broth (Soybean-Casein Digest), 500g",500g,N/A,Laboratory Reagents + Materials
MM218100,Tryptone Soya Agar 500g,500g,N/A,Laboratory Reagents + Materials
MM218700,Tube Capillary Plain,1,N/A,Laboratory Reagents + Materials
MM219000,"Tube Capillary, Edta",1,N/A,Laboratory Reagents + Materials
MM219600,Urea Solution 40%,1,N/A,Laboratory Reagents + Materials
MM219900,Urea Test Kit -Human (Cat 10505),1,N/A,Laboratory Reagents + Materials
MM219950,"Urea XL System packs, R1.5 x 44ml",1,NA,Laboratory Reagents + Materials
MM220550,V factor Disc,1,NA,Laboratory Reagents + Materials
MM220800,"Vacutainer, Plain Glass, 5ml (Red Top)",1,N/A,Laboratory Reagents + Materials
MM221400,Vibrio Cholera - Inaba,1,N/A,Laboratory Reagents + Materials
MM221700,Vibrio Cholera - Ogawa,1,N/A,Laboratory Reagents + Materials
MM222000,Vibrio Cholera Bengal 0139,1,N/A,Laboratory Reagents + Materials
MM222300,Vibrio Cholera Polyvalent,1,N/A,Laboratory Reagents + Materials
MM222900,Wash Bottles (Squeeze Bottle),1,N/A,Laboratory Reagents + Materials
MM223200,Wash Bottles 250ml,1,NA,Laboratory Reagents + Materials
MM223250,Weighing paperPack of 200,1,NA,Laboratory Reagents + Materials
MM223500,"Wash Bottles, 500ml",1,N/A,Laboratory Reagents + Materials
MM223850,White Tips,1,NA,Laboratory Reagents + Materials
MM223860,White Tips50-800mcl,1,NA,Laboratory Reagents + Materials
MM224400,"Wire, Nichrome Inoculation Loop (24 Standard Wire Gauge (Swg) Or 0.022 Inches Or 0.559 Mm Thickness Swg)",1,N/A,Laboratory Reagents + Materials
MM224700,"Wooden Applicator (Orange) Sticks, 6 X 1/12 Round With Square-Cut Ends",1,N/A,Laboratory Reagents + Materials
MM225300,Xv Factor Discs,1,N/A,Laboratory Reagents + Materials
MM225600,Xylene,1,N/A,Laboratory Reagents + Materials
MM225601,Multistix 13 Parameters,1,NA,Laboratory Reagents + Materials
NN000900,Box viewing (Field area 120cm x 43cm),1,NA,X-ray films + equipment
NN001200,Box viewing (Field: area 35cm x 43cm),1,NA,X-ray films + equipment
NN002700,Cassette with intensifying screens X-ray (screen type mo,1,NA,X-ray films + equipment
NN003000,"Cassette with intensifying screens ,X-ray, (screen type, monochromatic-blue emmitingSize: 18cm x 24cmSpeed:detail-200)",1,N/A,X-ray films + equipment
NN003300,Cassette with intensifying screens X-ray (screen type mon,1,NA,X-ray films + equipment
NN003600,Cassette with intensifying screens X-ray (screen type mon,1,NA,X-ray films + equipment
NN003900,Cassette with intensifying screens X-ray (screen type mon,1,NA,X-ray films + equipment
NN004500,"Cassette with screens ,X-ray, (screen type, monochromatic- blue emmitingSize: 35cm x 43cmSpeed:standard-400)",1,N/A,X-ray films + equipment
NN004800,Cassette with screens X-ray (screen type monochromatic-bl,1,NA,X-ray films + equipment
NN005100,"Cassette with screens ,X-ray, (screen type, monochromatic-blue emmitingSize: 18cm x 43cmSpeed:standard-400)",1,N/A,X-ray films + equipment
NN005400,Cassette with screens X-ray (screen type monochromatic-bl,1,NA,X-ray films + equipment
NN005700,"Cassette with screens ,X-ray, (screen type, monochromatic-blue emmitingSize: 24cm x 30cmSpeed:standard-400)",1,N/A,X-ray films + equipment
NN006000,"Cassette with screens ,X-ray, (screen type, monochromatic-blue emmitingSize: 30cm x 40cmSpeed:standard-400)",1,N/A,X-ray films + equipment
NN006300,Cassette with screens X-ray (screen type monochromatic-bl,1,NA,X-ray films + equipment
NN006600,"Cassette with screens ,X-ray, (screen type, monochromatic-blue emmitingSize: 35cm x 35cmSpeed:standard-400)",1,N/A,X-ray films + equipment
NN006900,Cassette with screens X-ray (screen type monochromatic-bl,1,NA,X-ray films + equipment
NN007200,Cassette with screens X-ray (screen type monochromatic-bl,1,NA,X-ray films + equipment
NN007500,Cassette with screens Gridded 24x30cm Screen Speed:400,1,NA,X-ray films + equipment
NN007800,Cassette with screens Gridded 35x35cm Screen Speed:400,1,NA,X-ray films + equipment
NN008100,Cassette with screens Gridded 35x43cm Screen Speed : 400,1,NA,X-ray films + equipment
NN008700,"Contrast, Barium sulphate for suspension (Enema Disposable flowing powder Barium 92% with administration kit)",1,Enema,X-ray films + equipment
NN008701,"Barium sulphate disposable enema 93%, 400g",1,NA,X-ray films + equipment
NN009000,"Contrast, Barium sulphate for suspension (Oral administration PowderBarium concetration:95%)",1,Suspension,X-ray films + equipment
NN009300,"Contrast, Barium sulphate for suspension (Oral administration PowderBarium concetration:96%)",1,Suspension,X-ray films + equipment
NN009600,"Contrast, Omnipaque 370 mg/ml",1,Solution,X-ray films + equipment
NN010800,"Contrast,Barium sulphate for suspension (Oral administration PowderBarium concetration:98%)",1,Suspension,X-ray films + equipment
NN011400,"Contrast,Iodixanol 320mg/l (Vispaque)",1,Solution,X-ray films + equipment
NN011700,"Contrast,Omnipaque 300 mg/ml",1,Solution,X-ray films + equipment
NN013200,"Developer, X-ray film to make 20L (Used on Automatic processors Package:Contains 3 concetrate bottles labled, A (5L), B (0.5L and C (0.5L)Iso compliant and CE marked)",1,N/A,X-ray films + equipment
NN015900,Envelopes for films (Khaki paper Size: 30x40cm),1,N/A,X-ray films + equipment
NN016000,Envelopes for films (Khaki paper Size: 18x24cm),1,NA,X-ray films + equipment
NN016200,Envelopes for films (Khaki paper Size: 35cm x 35cm),1,N/A,X-ray films + equipment
NN016500,Envelopes for films (Khaki paper Size:24x30cm),1,N/A,X-ray films + equipment
NN016800,Envelopes for films (Khaki paperSize: 35cm x 43cm),1,N/A,X-ray films + equipment
NN017400,"Films,Laser, carestream dryview 6850 Imager compartible, 35x43cm",1,N/A,X-ray films + equipment
NN017700,FilmsLaser carestream dryview 6850 Imager compartible 35x,1,NA,X-ray films + equipment
NN018000,Fixer for Automatic processes (to make 20 litres),1,N/A,X-ray films + equipment
NN020400,Gallipot stainless steel 120ml,1,NA,X-ray films + equipment
NN021300,"Gastrografin (Oral/rectal administrationsodium amidotrizoate+ meglumine amidotrizoate,10:66 Iodine concentration 370 mg/mL)",1,Solution,X-ray films + equipment
NN021600,"Gel warmer, Ultrasound, Multi-Bottle, 220V for 3 Dispensers",1,N/A,X-ray films + equipment
NN022800,"Grid, Stationary (Filters excess radiation Parallel Size: 35cm x 35cm Grid frequency: 34strips per centimeter)",1,N/A,X-ray films + equipment
NN023400,"Grid, Stationary (Filters excess radiation Parallel Size: 35cm x 43cm Grid frequency: 34 strips per centimeter)",1,N/A,X-ray films + equipment
NN024600,"Grid, Stationary (Filters excess radiation Parallel Size: 30cm x 40cm Grid frequency: 34 strips per centimeter)",1,N/A,X-ray films + equipment
NN027300,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN027600,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN027900,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN028200,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN028800,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN029100,Intensifying screen (Type: monochromatic -blue emmitting Sp,1,NA,X-ray films + equipment
NN029400,Intensifying screen (Type: monochromatic Speed: B 200 Size: 35cm x 43cm),1,N/A,X-ray films + equipment
NN029700,Intensifying screen (Type: monochromatic-blue emitting Spee,1,NA,X-ray films + equipment
NN030000,Intensifying screen (Type: monochromatic--blue emmitting Sp,1,NA,X-ray films + equipment
NN030300,Intensifying screen (Type: monochromatic--blue emmitting Sp,1,NA,X-ray films + equipment
NN030600,Intensifying screen (Type: monochromatic-blue emmitting Spe,1,NA,X-ray films + equipment
NN031200,Intensifying screen (Type: monochromatic-blue emmitting Speed: B 400 Size :30cm x 40cm),1,N/A,X-ray films + equipment
NN031500,Intensifying screen (Type: monochromatic-blue emmitting Spe,1,NA,X-ray films + equipment
NN032700,Jopamiron/Iopamidol 200mg/ml,1,Solution,X-ray films + equipment
NN032750,Jopamiron 300mgl/ml 50ml,1,NA,X-ray films + equipment
NN033000,Jopamiron/Iopamidol 370mg/ml,1,Solution,X-ray films + equipment
NN033900,Lead rubber (X-ray protective aprons up to 150kVp 0.5mm),1,NA,X-ray films + equipment
NN035700,Marker Mammo Nipple Artifact Markers 2-mm lead ball on a,1,NA,X-ray films + equipment
NN036000,"Markers,AP/PA (Floating anatomical markers left and right)",1,N/A,X-ray films + equipment
NN036300,"Markers,AP/PA (Metalic clip ON cassette anatomical marker)",1,N/A,X-ray films + equipment
NN037500,"Monochromatic (blue senstive) X-ray Film, screen Size: 18cm x 24cm",1,N/A,X-ray films + equipment
NN037800,"Monochromatic (blue senstive) X-ray Film, screen SizeSize: 18cm x 43cm",1,N/A,X-ray films + equipment
NN038100,"Monochromatic (blue senstive) X-ray Film, screen SizeSize: 24cm x 30cm",1,N/A,X-ray films + equipment
NN038400,"Monochromatic blue senstive X-ray Film, screen SizeSize: 30cm x 40cm",1,N/A,X-ray films + equipment
NN038700,"Monochromatic blue senstive X-ray Film, screen SizeSize: 35cm x 43cm",1,N/A,X-ray films + equipment
NN039000,"Monochromatic blue senstive X-ray Film, screen SizecSize: 35cm x 35cm",1,N/A,X-ray films + equipment
NN039300,"Needle,biopsy, 20G, 10cm long, Pack of 10",1,N/A,X-ray films + equipment
NN045000,Printer ID (Type :Dark room use for Radiograph identificati,1,NA,X-ray films + equipment
NN045300,Printer ID Camera (Actinic marker for daylight film/radiogr,1,NA,X-ray films + equipment
NN045600,"Printing paper, Ultrasound, Thermo Superior density printing paper, 110mm x 20m of 200 exposures",1,N/A,X-ray films + equipment
NN045900,"Printing paper, Ultrasound, Type IV High Density UPP-110HD,110mm x20m",1,N/A,X-ray films + equipment
NN046500,"Pump,Air insufflator, Manual Rubber pump with valve, 50mls)",1,N/A,X-ray films + equipment
NN048600,"Screen cleaner,X-ray (Screen cleaner,X-ray cassettePackage:250ml plastic spray bottle",1,N/A,X-ray films + equipment
NN050100,"Ultrasound Gel, High viscosity, water soluble hypoallegenic, in plastic bottle",1,N/A,X-ray films + equipment
NN050400,"Ultrasound Gel, High viscosity, water soluble hypoallegenic, in plastic bottle.",1,N/A,X-ray films + equipment
NN050700,"Ultrasound Gel, High viscosity, with 2 dispensers",1,N/A,X-ray films + equipment
NN051600,"Ultravist, 300mg/ml (iopromide), IV administration, 50ml btle",1,Solution,X-ray films + equipment
NN051900,"Ultravist, 370mg/ml (iopromide ), IV administration, 50ml btle",1,Solution,X-ray films + equipment
NN052200,Ultravist 370mg/ml IV administration 20ml,1,NA,X-ray films + equipment
NN052500,"Urografin/Urovideo 60% (IV/Cavity filling Sodium+ meglumine diatrizoate inj.20ml ampules:9,53g Each(60%)",1,Solution,X-ray films + equipment
NN052800,Urografin/Urovideo 76% (Sodium+ meglumine diatrizoate inj.20ml ampules:15.2g Each(76%),1,Solution,X-ray films + equipment
NN053700,"wiper, soft paper, Disposable",1,N/A,X-ray films + equipment
NN054600,X-ray protector (Lead rubber SkirtCE marked),1,N/A,X-ray films + equipment
NN055200,X-ray Protector eyes Lead goggles,1,NA,X-ray films + equipment
NN055500,X-ray Protector Gonad (Female adult CE marked),1,NA,X-ray films + equipment
NN055800,X-ray Protector Gonad (Female childCE marked),1,NA,X-ray films + equipment
NN056100,X-ray Protector Gonad (Male Adult CE marked),1,NA,X-ray films + equipment
NN056400,X-ray Protector Hands Lead rubber gloves,1,NA,X-ray films + equipment
PP001500,"Alginate Aerosol Adhesive, 200 ml",1,Aerosol,Dental Items
PP002100,Alginate impression material (Supreme),1,N/A,Dental Items
PP002400,"Alvogyl paste, 100g",1,Paste,Dental Items
PP002700,"Amalgam capsule, # 1 Spill, non-gamma",1,Capsule,Dental Items
PP003000,"Amalgam capsule, # 2 Spill, non-gamma",1,Capsule,Dental Items
PP003300,"Amalgam Capsule, # 3 Spill, Non-gamma",1,Capsule,Dental Items
PP003900,"Arch Bar (RMG17), Fracture Banding wire, 40 long",1,N/A,Dental Items
PP003950,"Autoclavable sunction tips, 6mm, No 10 (Cattan or equivalent",1,NA,Dental Items
PP004800,Biosonic (UC32) cleaning solution 236ml,1,NA,Dental Items
PP005700,"Brushes, polishing, medium",1,N/A,Dental Items
PP006300,"Burs, diamond flat-end, tapered long, FG medium",1,N/A,Dental Items
PP006600,Burs diamond cylinder long FG medium,1,NA,Dental Items
PP006660,"Burs, diamond, round FG 1011, medium",1,NA,Dental Items
PP006661,"Burs, diamond, round FG 1012, medium",1,NA,Dental Items
PP006662,"Burs, diamond, round FG 1013, medium",1,NA,Dental Items
PP006663,"Burs, diamond, round FG 1014, medium",1,NA,Dental Items
PP006664,"Burs, diamond, round FG 1015, medium",1,NA,Dental Items
PP006665,"Burs, diamond, round FG 1016, medium",1,NA,Dental Items
PP006666,"Burs, diamond, round FG 1019, medium",1,NA,Dental Items
PP007200,"Burs, Pameijer for crown + bridge",1,N/A,Dental Items
PP007500,"Burs, steel round, PC5, PC8",1,N/A,Dental Items
PP007501,"Burs, steel round, PC5",1,NA,Dental Items
PP007502,"Burs, steel round, PC8",1,NA,Dental Items
PP008100,"Burs, TC round, plain cut, no. 6, 7, 8",1,N/A,Dental Items
PP008101,"Burs, TC round, plain cut, no. 6",1,NA,Dental Items
PP008102,"Burs, TC round, plain cut, no. 7",1,NA,Dental Items
PP008103,"Burs, TC round, plain cut, no. 8",1,NA,Dental Items
PP008400,"Burs, TC tapered, fissure, oral surgery",1,N/A,Dental Items
PP009000,"Burs, TC, acrylic, trimmers",1,N/A,Dental Items
PP010550,"Burs, TC, Cutter",1,NA,Dental Items
PP011100,Calcium Hydroxide,1,Paste,Dental Items
PP011400,Carbamide peroxide 10% sustained release whitening gel,1,NA,Dental Items
PP013200,Cavit medium,1,N/A,Dental Items
PP013800,"Chisel, enamel (Aesculap DC 81)",1,N/A,Dental Items
PP014400,Cold mould seal,1,N/A,Dental Items
PP014401,Cold mould seal,1,NA,Dental Items
PP015000,Composite chemical cure + etching system,1,N/A,Dental Items
PP015300,Composite finishing system,1,N/A,Dental Items
PP015600,Composite flowable Dyroet (Dentisply),1,N/A,Dental Items
PP015900,Composite flowable revolution (Kerr),1,NA,Dental Items
PP016200,Composite light cure syringe (per 4g syringe),1,NA,Dental Items
PP016201,"Composite light cure, 5g Syringe, shade A1",1,NA,Dental Items
PP016203,"Composite light cure, 5g Syringe, shade A3",1,NA,Dental Items
PP016204,"Composite light cure, 5g Syringe, shade A3.5",1,NA,Dental Items
PP016205,"Composite light cure, 5g Syringe, shade A4",1,NA,Dental Items
PP016206,"Composite light cure, 5g Syringe, shade B1",1,NA,Dental Items
PP016207,"Composite light cure, 5g Syringe, shade B2",1,NA,Dental Items
PP016208,"Composite light cure, 5g Syringe, shade B3",1,NA,Dental Items
PP016209,"Composite light cure, 5g Syringe, shade C1",1,NA,Dental Items
PP016210,"Composite light cure, 5g Syringe, shade C2",1,NA,Dental Items
PP016211,"Composite light cure, 5g Syringe, shade C3",1,NA,Dental Items
PP016212,"Composite light cure, 5g Syringe, shade C4",1,NA,Dental Items
PP016213,"Composite light cure, 5g Syringe, shade D2",1,NA,Dental Items
PP016214,"Composite light cure, 5g Syringe, shade D3",1,NA,Dental Items
PP016215,"Composite light cure, 5g Syringe, shade D4",1,NA,Dental Items
PP016800,"Cones, pointed polishing, medium",1,N/A,Dental Items
PP017100,Contra angle h/p IS20 (NSK),1,N/A,Dental Items
PP017400,"Coupling, quick disconnecting, PTL (NSK)",1,N/A,Dental Items
PP017700,Cresophene 13ml root canal disinfectant,1,N/A,Dental Items
PP018000,Crown + bridge impression material,1,NA,Dental Items
PP019800,"Cutter, wire (Aesculap DP 551)",1,N/A,Dental Items
PP020100,Dental floss Oral B waxed,1,N/A,Dental Items
PP020400,Dental hand scalers,1,N/A,Dental Items
PP021000,"Dental lathe polishing brushes, fine",1,N/A,Dental Items
PP025200,"Elevator, Coupland no. 2 (Aesculap DL 47)",1,N/A,Dental Items
PP025800,"Elevator, Cryer no. 30 (Aesculap DL 211)",1,N/A,Dental Items
PP026100,"Elevator, Cryer no. 31 (Aesculap DL 212)",1,N/A,Dental Items
PP027000,"Elevator, Warwick James, straight (Aesculap DL 52)",1,N/A,Dental Items
PP028800,"Ethyl chloride spray, topical anaesthetic",1,Spray,Dental Items
PP029450,Expansion Screw 7.5mm,1,NA,Dental Items
PP030901,"Files, K-Flex Kerr, 25mm,45/80",1,NA,Dental Items
PP030902,"Files, K-Flex Kerr, 25mm 15/40",1,NA,Dental Items
PP030903,"Files, K-Flex Kerr, 25mm,80/100",1,NA,Dental Items
PP031200,"Film, occlusal (Kodak)",1,N/A,Dental Items
PP031800,"Film, periapical, adult (Kodak DF58)",1,N/A,Dental Items
PP031850,Final Gross Polish,1,NA,Dental Items
PP032100,Fluoride varnish (Duraphat),1,N/A,Dental Items
PP032400,Forceps for wire ligature (Aesulap DO 872),1,N/A,Dental Items
PP033000,Forceps repositioning (Aesculap DO 322),1,NA,Dental Items
PP033300,"Forceps, lower incisor and biscuspids, adult (Aesculap DG 413)",1,N/A,Dental Items
PP033900,"Forceps, lower molar, adult (Aesculap DG 565)",1,N/A,Dental Items
PP034200,Forceps lower roots adult (Aesculap DG 729),1,NA,Dental Items
PP034500,"Forceps, upper incisor, adult (Aesculap DG 006)",1,N/A,Dental Items
PP034800,"Forceps, upper incisor, adult (Aesculap DG 107)",1,N/A,Dental Items
PP035100,Forceps upper molar paed. (Aesculap DK 60),1,NA,Dental Items
PP035400,"Forceps, upper molar R and L (Aesculap DG 130)",1,N/A,Dental Items
PP035700,"Forceps, upper roots (Aesculap DG 365)",1,N/A,Dental Items
PP036300,Glass ionomer cement powder + liquid,1,Mixture,Dental Items
PP036600,Glass ionomer reinforced powder + liquid (Fujii IX),1,Mixture,Dental Items
